data;hora;temperatura_maxima;temperatura_minima;umidade_relativa_do_ar
2010-01-01;00:00;22,1;21,5;82
2010-01-01;01:00;21,6;20,7;86
2010-01-01;02:00;20,9;20,4;85
2010-01-01;03:00;20,4;20,1;87
2010-01-01;04:00;20,2;19,6;90
2010-01-01;05:00;19,6;19,4;90
2010-01-01;06:00;19,5;19,1;92
2010-01-01;07:00;19,3;19,1;91
2010-01-01;08:00;19,3;19,1;91
2010-01-01;09:00;19,4;19,2;91
2010-01-01;10:00;20,2;19,4;89
2010-01-01;11:00;21,5;20,2;83
2010-01-01;12:00;22;21,1;80
2010-01-01;13:00;22,2;21,5;80
2010-01-01;14:00;23,9;22;74
2010-01-01;15:00;24,7;23,6;72
2010-01-01;16:00;26,1;23,7;66
2010-01-01;17:00;26,9;25,4;64
2010-01-01;18:00;27,4;26,1;63
2010-01-01;19:00;27,9;26,2;65
2010-01-01;20:00;26,5;25,2;67
2010-01-01;21:00;25,5;23,1;77
2010-01-01;22:00;23,1;21,9;80
2010-01-01;23:00;21,9;21;82
2010-01-02;00:00;21;20,5;82
2010-01-02;01:00;20,5;20,3;84
2010-01-02;02:00;20,3;19,8;86
2010-01-02;03:00;19,8;19,7;87
2010-01-02;04:00;-9999;-9999;-9999
2010-01-02;05:00;19,6;19,3;91
2010-01-02;06:00;19,6;19,3;90
2010-01-02;07:00;19,6;19,5;90
2010-01-02;08:00;19,8;19,5;89
2010-01-02;09:00;20;19,8;91
2010-01-02;10:00;20,2;19,6;92
2010-01-02;11:00;21,5;20,2;88
2010-01-02;12:00;23,3;21,5;81
2010-01-02;13:00;24,9;23;73
2010-01-02;14:00;26,3;24,7;68
2010-01-02;15:00;26,3;24,6;76
2010-01-02;16:00;24,7;24,4;77
2010-01-02;17:00;24,8;24,5;79
2010-01-02;18:00;25,4;24,7;78
2010-01-02;19:00;26,1;25,2;76
2010-01-02;20:00;-9999;-9999;-9999
2010-01-02;21:00;25,8;25,4;81
2010-01-02;22:00;25,4;24,6;84
2010-01-02;23:00;24,6;22,5;84
2010-01-03;00:00;22,5;22,2;84
2010-01-03;01:00;-9999;-9999;-9999
2010-01-03;02:00;22,8;22,3;85
2010-01-03;03:00;23,2;22,4;85
2010-01-03;04:00;22,8;21,7;87
2010-01-03;05:00;22,7;21,9;87
2010-01-03;06:00;22,4;21,1;91
2010-01-03;07:00;21,1;20,8;92
2010-01-03;08:00;21,2;20,8;92
2010-01-03;09:00;21,1;20,7;95
2010-01-03;10:00;21,8;20,9;90
2010-01-03;11:00;22,4;21,6;90
2010-01-03;12:00;23,7;22;83
2010-01-03;13:00;26,6;23,3;72
2010-01-03;14:00;28,6;26,3;59
2010-01-03;15:00;29,2;27,8;55
2010-01-03;16:00;30,2;28,8;49
2010-01-03;17:00;30,4;29,6;48
2010-01-03;18:00;31,1;29,6;49
2010-01-03;19:00;31,9;30,2;43
2010-01-03;20:00;31,6;29,7;49
2010-01-03;21:00;-9999;-9999;-9999
2010-01-03;22:00;26,8;25,1;81
2010-01-03;23:00;-9999;-9999;-9999
2010-01-04;00:00;24,2;23,6;80
2010-01-04;01:00;23,8;22,8;81
2010-01-04;02:00;22,8;22,3;86
2010-01-04;03:00;22,3;21,9;90
2010-01-04;04:00;21,9;21,5;92
2010-01-04;05:00;21,7;21,5;91
2010-01-04;06:00;21,7;21,6;91
2010-01-04;07:00;21,6;21,2;92
2010-01-04;08:00;21,2;21;92
2010-01-04;09:00;-9999;-9999;-9999
2010-01-04;10:00;22,5;20,6;88
2010-01-04;11:00;-9999;-9999;-9999
2010-01-04;12:00;26,2;23,7;70
2010-01-04;13:00;29,5;25,8;58
2010-01-04;14:00;30,1;28,7;49
2010-01-04;15:00;29,7;27,6;68
2010-01-04;16:00;29,5;26,7;63
2010-01-04;17:00;-9999;-9999;-9999
2010-01-04;18:00;31;29,5;50
2010-01-04;19:00;31,5;30,1;49
2010-01-04;20:00;-9999;-9999;-9999
2010-01-04;21:00;30,2;28;63
2010-01-04;22:00;28,2;24,7;69
2010-01-04;23:00;26,2;24,9;59
2010-01-05;00:00;26,6;26,1;58
2010-01-05;01:00;26,6;25,1;76
2010-01-05;02:00;-9999;-9999;-9999
2010-01-05;03:00;24,5;22,7;86
2010-01-05;04:00;22,7;21,9;93
2010-01-05;05:00;22,4;21,9;90
2010-01-05;06:00;-9999;-9999;-9999
2010-01-05;07:00;22,5;22;89
2010-01-05;08:00;22,4;22,1;90
2010-01-05;09:00;22,4;21,7;93
2010-01-05;10:00;22,6;21,9;91
2010-01-05;11:00;-9999;-9999;-9999
2010-01-05;12:00;25,7;23,5;75
2010-01-05;13:00;27,1;25,4;69
2010-01-05;14:00;29,2;27;62
2010-01-05;15:00;29,4;28,2;59
2010-01-05;16:00;30,2;29;58
2010-01-05;17:00;31,4;29;53
2010-01-05;18:00;31,7;30;55
2010-01-05;19:00;30,6;29,6;55
2010-01-05;20:00;-9999;-9999;-9999
2010-01-05;21:00;26,6;21,1;88
2010-01-05;22:00;21;20,1;94
2010-01-05;23:00;21,5;20,8;91
2010-01-06;00:00;21,7;21,4;90
2010-01-06;01:00;22,4;21,7;85
2010-01-06;02:00;22,4;21,8;85
2010-01-06;03:00;22,5;22,1;82
2010-01-06;04:00;22,5;21,3;91
2010-01-06;05:00;22;21,1;88
2010-01-06;06:00;21,1;20,7;92
2010-01-06;07:00;20,7;20,5;95
2010-01-06;08:00;20,6;20,4;94
2010-01-06;09:00;20,7;20,4;93
2010-01-06;10:00;21,3;20,7;92
2010-01-06;11:00;-9999;-9999;-9999
2010-01-06;12:00;24,2;22,1;76
2010-01-06;13:00;-9999;-9999;-9999
2010-01-06;14:00;26;24,1;78
2010-01-06;15:00;-9999;-9999;-9999
2010-01-06;16:00;27,8;26,3;71
2010-01-06;17:00;29,2;27,2;63
2010-01-06;18:00;29,1;28,2;61
2010-01-06;19:00;28,8;24,4;85
2010-01-06;20:00;24,7;24,1;82
2010-01-06;21:00;24,2;23,6;84
2010-01-06;22:00;-9999;-9999;-9999
2010-01-06;23:00;24,1;23,7;87
2010-01-07;00:00;-9999;-9999;-9999
2010-01-07;01:00;23,4;23,1;88
2010-01-07;02:00;23,2;22,9;87
2010-01-07;03:00;22,9;21,9;93
2010-01-07;04:00;21,9;21,5;92
2010-01-07;05:00;21,6;21,5;92
2010-01-07;06:00;-9999;-9999;-9999
2010-01-07;07:00;21,3;21,2;94
2010-01-07;08:00;-9999;-9999;-9999
2010-01-07;09:00;21;20,9;94
2010-01-07;10:00;21,4;20,9;93
2010-01-07;11:00;22,5;21,4;89
2010-01-07;12:00;24;22,5;84
2010-01-07;13:00;-9999;-9999;-9999
2010-01-07;14:00;26;24,5;76
2010-01-07;15:00;26,1;25,2;73
2010-01-07;16:00;27,2;25,6;73
2010-01-07;17:00;28;26,6;73
2010-01-07;18:00;27,3;26;76
2010-01-07;19:00;26,2;20,2;94
2010-01-07;20:00;-9999;-9999;-9999
2010-01-07;21:00;21,1;20,8;92
2010-01-07;22:00;21,3;20,9;87
2010-01-07;23:00;-9999;-9999;-9999
2010-01-08;00:00;21,6;21,4;92
2010-01-08;01:00;21,5;21,4;92
2010-01-08;02:00;21,5;21,4;91
2010-01-08;03:00;21,5;21,3;91
2010-01-08;04:00;21,4;21,2;92
2010-01-08;05:00;21,3;21,1;92
2010-01-08;06:00;21,2;21,1;93
2010-01-08;07:00;21,2;20,8;93
2010-01-08;08:00;20,9;20,7;93
2010-01-08;09:00;20,9;20,8;92
2010-01-08;10:00;21,2;20,8;92
2010-01-08;11:00;21,5;20,9;89
2010-01-08;12:00;21,8;21,2;89
2010-01-08;13:00;24,6;21,5;80
2010-01-08;14:00;26,2;24,3;73
2010-01-08;15:00;-9999;-9999;-9999
2010-01-08;16:00;25,8;23,6;77
2010-01-08;17:00;-9999;-9999;-9999
2010-01-08;18:00;27,9;25,7;72
2010-01-08;19:00;25,7;22,1;92
2010-01-08;20:00;22,2;21,7;90
2010-01-08;21:00;-9999;-9999;-9999
2010-01-08;22:00;22,3;22;91
2010-01-08;23:00;22;21,7;91
2010-01-09;00:00;21,7;21,6;90
2010-01-09;01:00;21,6;21,3;92
2010-01-09;02:00;21,4;21,2;92
2010-01-09;03:00;21,5;21,3;90
2010-01-09;04:00;21,3;21,2;92
2010-01-09;05:00;21,3;21,2;93
2010-01-09;06:00;21,5;21,3;91
2010-01-09;07:00;21,5;21,4;91
2010-01-09;08:00;21,5;20,6;96
2010-01-09;09:00;20,9;20,7;96
2010-01-09;10:00;21,5;20,8;93
2010-01-09;11:00;23,9;21,5;80
2010-01-09;12:00;25,1;23,5;77
2010-01-09;13:00;-9999;-9999;-9999
2010-01-09;14:00;26,8;24,9;70
2010-01-09;15:00;-9999;-9999;-9999
2010-01-09;16:00;28,6;26,4;66
2010-01-09;17:00;-9999;-9999;-9999
2010-01-09;18:00;29,1;27,8;56
2010-01-09;19:00;-9999;-9999;-9999
2010-01-09;20:00;29,7;27,7;59
2010-01-09;21:00;28,5;27,7;54
2010-01-09;22:00;-9999;-9999;-9999
2010-01-09;23:00;26,9;24,9;79
2010-01-10;00:00;24,9;24,1;86
2010-01-10;01:00;24,1;22,6;93
2010-01-10;02:00;23,4;22,5;85
2010-01-10;03:00;23,1;22,7;86
2010-01-10;04:00;22,7;22,4;88
2010-01-10;05:00;22,7;22,4;85
2010-01-10;06:00;23;22,4;87
2010-01-10;07:00;22,4;21,8;89
2010-01-10;08:00;22,4;21,9;88
2010-01-10;09:00;22;21,8;87
2010-01-10;10:00;22,8;21,9;84
2010-01-10;11:00;24;22,8;79
2010-01-10;12:00;24,9;23,8;76
2010-01-10;13:00;26,3;24,9;71
2010-01-10;14:00;27,2;26;66
2010-01-10;15:00;28,3;26,6;68
2010-01-10;16:00;27,7;26,6;70
2010-01-10;17:00;27,1;26,1;72
2010-01-10;18:00;-9999;-9999;-9999
2010-01-10;19:00;23;22,6;73
2010-01-10;20:00;23,2;22,5;74
2010-01-10;21:00;23,9;23,1;72
